epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,238.359,1.00727,0.98042,1.44895,0.7434,0.64033,0.7039,0.47953,0.9726,0.78692,1.41624,0.004159,0.004159,0.004159
61,490.907,1.0074,0.98094,1.44681,0.74877,0.63986,0.70616,0.48111,0.97037,0.78514,1.41279,0.00406,0.00406,0.00406
62,751.857,1.0042,0.96591,1.44186,0.74737,0.6395,0.70606,0.48172,0.96993,0.78631,1.41115,0.003961,0.003961,0.003961
63,1012.84,1.00807,0.96764,1.44618,0.76108,0.63354,0.70745,0.48333,0.97002,0.78253,1.41113,0.003862,0.003862,0.003862
64,1275,1.00735,0.96393,1.44467,0.75991,0.63912,0.70907,0.48543,0.96763,0.77839,1.40759,0.003763,0.003763,0.003763
65,1535.59,0.99874,0.9622,1.43959,0.75427,0.64149,0.71202,0.4876,0.96632,0.77627,1.40594,0.003664,0.003664,0.003664
66,1797.47,0.99756,0.95259,1.43248,0.76078,0.64613,0.71363,0.48963,0.96546,0.77417,1.40452,0.003565,0.003565,0.003565
67,2059.36,0.99325,0.9404,1.43326,0.76338,0.64742,0.71614,0.4913,0.96424,0.77234,1.40273,0.003466,0.003466,0.003466
68,2320.73,0.98413,0.93221,1.42417,0.7714,0.64893,0.71902,0.49284,0.96249,0.76956,1.40061,0.003367,0.003367,0.003367
69,2582.57,0.98892,0.93969,1.42686,0.77598,0.64742,0.71991,0.49463,0.96037,0.7673,1.3982,0.003268,0.003268,0.003268
70,2844.38,0.97181,0.9287,1.42313,0.76578,0.65268,0.72052,0.49572,0.95966,0.7655,1.39764,0.003169,0.003169,0.003169
71,3106.61,0.97911,0.92673,1.42333,0.76679,0.65313,0.72166,0.49687,0.95802,0.76234,1.39623,0.00307,0.00307,0.00307
72,3368.98,0.97429,0.92061,1.41808,0.76774,0.65323,0.72288,0.49762,0.95747,0.75991,1.3956,0.002971,0.002971,0.002971
73,3629.81,0.9775,0.91157,1.41826,0.77782,0.64925,0.72396,0.49871,0.9552,0.75832,1.3936,0.002872,0.002872,0.002872
74,3891.77,0.96699,0.90325,1.41158,0.76805,0.65575,0.72453,0.50009,0.95392,0.75627,1.3922,0.002773,0.002773,0.002773
75,4152.19,0.96145,0.89787,1.40685,0.77507,0.65316,0.72539,0.50074,0.95329,0.75471,1.391,0.002674,0.002674,0.002674
