epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,9098.37,1.11618,1.02834,0.01497,0.8064,0.6855,0.76432,0.53361,0.99599,0.81871,0.01996,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9359.02,1.11713,1.01705,0.01481,0.81771,0.68286,0.76519,0.53454,0.99291,0.81506,0.01985,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9616.14,1.12011,1.01843,0.01478,0.82124,0.68378,0.76634,0.53587,0.98994,0.8124,0.01977,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9872.6,1.10401,0.99953,0.01462,0.82327,0.6836,0.76798,0.53768,0.98695,0.81237,0.01976,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10123.5,1.11522,1.00129,0.01462,0.81573,0.69086,0.76966,0.53883,0.98503,0.81496,0.01968,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10373.7,1.09962,0.98966,0.01452,0.82034,0.69253,0.77105,0.54062,0.98089,0.81499,0.01958,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10619.4,1.08565,0.98182,0.01432,0.8159,0.69517,0.77075,0.54076,0.9808,0.8146,0.01959,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10870.6,1.08931,0.96815,0.01441,0.8198,0.69787,0.7736,0.54369,0.98046,0.80925,0.01961,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11123.6,1.09524,0.97178,0.01429,0.82008,0.69678,0.77333,0.54502,0.97963,0.81101,0.01958,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11376,1.08252,0.95123,0.01425,0.82069,0.70091,0.77588,0.54709,0.97883,0.80707,0.01954,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11628.6,1.06963,0.94694,0.01419,0.8217,0.70269,0.77774,0.54772,0.97821,0.80303,0.01952,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11878.5,1.08422,0.94757,0.01413,0.81771,0.70617,0.77786,0.5478,0.97747,0.80114,0.01949,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12129.5,1.06839,0.94207,0.01404,0.82474,0.6991,0.77821,0.54836,0.97678,0.80051,0.01947,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12381.1,1.06715,0.93582,0.01387,0.81863,0.70175,0.7789,0.54986,0.9757,0.80009,0.01943,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12631.8,1.05474,0.9184,0.01403,0.82022,0.70235,0.77989,0.5503,0.97634,0.80095,0.01946,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12883.2,1.05941,0.92347,0.01375,0.82226,0.70561,0.78054,0.55094,0.97534,0.79849,0.01945,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13137.1,1.05066,0.91115,0.0138,0.82236,0.70639,0.78193,0.55258,0.97475,0.7937,0.01943,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13400.1,1.04294,0.90975,0.01383,0.82515,0.70628,0.78313,0.55367,0.97393,0.7904,0.01941,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13655.4,1.04513,0.91024,0.01361,0.81486,0.71104,0.78346,0.55427,0.97337,0.79106,0.01938,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13906.3,1.03807,0.88681,0.0135,0.81738,0.7115,0.78465,0.55497,0.9728,0.78838,0.01937,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
