epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,468.469,1.00349,0.94148,1.38471,0.76201,0.66234,0.7284,0.49916,0.94367,0.7599,1.40076,0.003169,0.003169,0.003169
71,845.46,1.0069,0.94472,1.38252,0.7619,0.66223,0.7296,0.49989,0.94397,0.76017,1.40095,0.00307,0.00307,0.00307
72,1222.45,0.9998,0.93225,1.37606,0.77466,0.66003,0.73135,0.50039,0.94283,0.75947,1.40009,0.002971,0.002971,0.002971
73,1601.09,0.99562,0.93199,1.37434,0.77041,0.66267,0.73226,0.50084,0.94246,0.75862,1.40007,0.002872,0.002872,0.002872
74,1979.99,0.99905,0.92708,1.37701,0.77147,0.66126,0.7331,0.50199,0.94057,0.75609,1.39913,0.002773,0.002773,0.002773
75,2361.83,0.99283,0.91579,1.36983,0.76911,0.66582,0.73359,0.50271,0.93897,0.75387,1.39873,0.002674,0.002674,0.002674
76,2746.11,0.98617,0.91003,1.36998,0.76946,0.66809,0.73439,0.50357,0.93784,0.75333,1.39851,0.002575,0.002575,0.002575
77,3124.13,0.99252,0.91523,1.36755,0.76933,0.67036,0.73498,0.50387,0.93647,0.75232,1.39719,0.002476,0.002476,0.002476
78,3502.07,0.98479,0.90305,1.36053,0.77227,0.66853,0.7349,0.50425,0.93476,0.75171,1.39556,0.002377,0.002377,0.002377
79,3879.76,0.98321,0.89824,1.36382,0.77461,0.67008,0.73636,0.50534,0.93342,0.75079,1.39444,0.002278,0.002278,0.002278
80,4258.88,0.98117,0.90269,1.36512,0.77709,0.67038,0.73793,0.50578,0.93276,0.74935,1.39354,0.002179,0.002179,0.002179
81,4640.16,0.9904,0.89723,1.36035,0.7778,0.6698,0.73907,0.50675,0.93176,0.74826,1.39259,0.00208,0.00208,0.00208
82,392.123,0.94304,0.86249,1.34176,0.77847,0.67006,0.73895,0.5065,0.92898,0.74002,1.38523,0.001981,0.001981,0.001981
83,766.112,0.95237,0.872,1.34297,0.7789,0.66953,0.73902,0.50675,0.92947,0.7394,1.38547,0.001882,0.001882,0.001882
84,1142.09,0.94716,0.85967,1.33792,0.78038,0.66823,0.73947,0.50681,0.92906,0.73878,1.38527,0.001783,0.001783,0.001783
85,1514.01,0.94482,0.86422,1.33753,0.78035,0.66953,0.74008,0.50713,0.92889,0.73852,1.38525,0.001684,0.001684,0.001684
86,1886.76,0.95207,0.86325,1.34112,0.78122,0.66979,0.74008,0.50768,0.92836,0.73734,1.38475,0.001585,0.001585,0.001585
87,2258.84,0.94988,0.85857,1.33746,0.7814,0.66973,0.7402,0.50814,0.92774,0.73662,1.38431,0.001486,0.001486,0.001486
88,2631.19,0.94743,0.85346,1.34102,0.78287,0.66856,0.74026,0.50854,0.92729,0.73659,1.38417,0.001387,0.001387,0.001387
89,3003.73,0.95358,0.86029,1.33917,0.78385,0.66909,0.74065,0.50888,0.92742,0.73602,1.38429,0.001288,0.001288,0.001288
90,3376.07,0.94863,0.85438,1.33378,0.7827,0.67042,0.7412,0.50915,0.92685,0.73524,1.38394,0.001189,0.001189,0.001189
91,3745.07,0.94067,0.78838,1.42277,0.78194,0.67063,0.74142,0.50947,0.92625,0.73472,1.38295,0.00109,0.00109,0.00109
92,4111.54,0.9142,0.76413,1.39811,0.78277,0.67191,0.74175,0.5102,0.92583,0.73368,1.38202,0.000991,0.000991,0.000991
93,4478.3,0.90993,0.74602,1.39204,0.78449,0.67338,0.7423,0.5106,0.92497,0.73236,1.38081,0.000892,0.000892,0.000892
94,4844.85,0.90405,0.74037,1.3863,0.787,0.67281,0.74313,0.51161,0.92396,0.73051,1.37977,0.000793,0.000793,0.000793
95,5211.48,0.90079,0.73658,1.38531,0.78751,0.67409,0.74388,0.51258,0.92328,0.72899,1.3789,0.000694,0.000694,0.000694
96,5577.63,0.8958,0.72533,1.37591,0.78733,0.67499,0.74468,0.51319,0.92245,0.72764,1.37796,0.000595,0.000595,0.000595
97,5942.18,0.88501,0.71871,1.37359,0.79067,0.67472,0.74568,0.51402,0.92158,0.72637,1.37694,0.000496,0.000496,0.000496
98,6306.32,0.88145,0.70924,1.36636,0.79362,0.67436,0.74626,0.51471,0.92059,0.72476,1.37567,0.000397,0.000397,0.000397
99,6670.21,0.87792,0.70555,1.37076,0.79465,0.67517,0.74707,0.51551,0.91997,0.72406,1.37488,0.000298,0.000298,0.000298
100,7036.8,0.87097,0.69948,1.36566,0.79434,0.67567,0.74788,0.51585,0.91929,0.72309,1.37377,0.000199,0.000199,0.000199
